"Distributor Company","Retail Company","Policy Name",Quantity
"Jim And Rich Trading",,"BASIC + 1",50
"Jim And Rich Trading",,"BASIC + 2",45
"Jim And Rich Trading",,"BASIC + 3",25
"Jim And Rich Trading",,"BASIC + 4",23
,"JIM COMMUNICATIONS & ELECTRONIC (SUNTEC CITY)","BASIC + 2",1
,"JIM COMMUNICATIONS & ELECTRONIC (SUNTEC CITY)","BASIC + 4",1
,"JIM COMMUNICATIONS & ELECTRONICS (DOWNTOWN EAST)","BASIC + 2",1
,"JIM COMMUNICATIONS & ELECTRONICS (DOWNTOWN EAST)","BASIC + 4",1
,"JIM COMMUNICATIONS & ELECTRONICS (JEM)","BASIC + 2",1
,"JIM COMMUNICATIONS & ELECTRONICS (313)","BASIC + 2",1
,"JIM COMMUNICATIONS & ELECTRONICS (PLQ)","BASIC + 2",1
